"","assessid","tsyear","pt_avail","ssb","r","total","f","cpue","catch_landings"
"79","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1993,5,333477,652000,1194400,0.027,NA,13846
"80","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1994,5,323936,785000,1182570,0.023,NA,10882
"81","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1995,5,318627,825000,1165200,0.042,NA,19172
"82","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1996,5,310472,1073000,1137060,0.037,NA,16096
"83","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1997,5,307622,1259000,1099280,0.049,NA,21236
"84","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1998,5,300812,1679000,1065360,0.033,NA,14296
"85","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1999,5,300783,1886000,1037760,0.033,NA,13997
"86","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2000,5,295967,3769000,1021130,0.035,NA,14487
"87","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2001,5,292180,4080000,1033790,0.021,NA,8685
"88","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2002,5,284077,850000,1066910,0.029,NA,12176
"89","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2003,5,275286,722000,1181750,0.024,NA,9978
"90","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2004,5,267245,397000,1361180,0.019,NA,7572
"91","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2005,5,265295,681000,1479680,0.029,NA,11079
"92","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2006,5,268379,NA,1550420,0.047,NA,17202
"93","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2007,5,284426,NA,1562280,0.054,NA,19427
"94","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2008,5,318176,NA,1537920,0.043,NA,NA
"95","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1970,5,NA,NA,NA,NA,NA,12872
"96","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1971,5,NA,NA,NA,NA,NA,19373
"97","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1972,5,NA,59880,NA,NA,NA,14446
"98","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1973,5,NA,160110,NA,NA,NA,12922
"99","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1974,5,NA,207800,NA,NA,NA,24668
"100","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1975,5,NA,165450,NA,NA,NA,21616
"101","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1976,5,158781,170970,251434,0.149,NA,19176
"102","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1977,5,157687,171910,248550,0.093,NA,11489
"103","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1978,5,167314,396960,255523,0.079,NA,10140
"104","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1979,5,174482,153870,265676,0.105,NA,14357
"105","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1980,5,173514,125470,271974,0.132,NA,18364
"106","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1981,5,173256,367370,278414,0.123,NA,17113
"107","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1982,5,177675,254770,287306,0.08,NA,11518
"108","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1983,5,187094,213060,306042,0.092,NA,13969
"109","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1984,5,194330,695500,324760,0.058,NA,9452
"110","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1985,5,213962,379370,347781,0.042,NA,7447
"111","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1986,5,240468,384140,374697,0.037,NA,7181
"112","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1987,5,256850,252090,409525,0.022,NA,4859
"113","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1988,5,276549,260560,449340,0.087,NA,19990
"114","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1989,5,289764,300200,482729,0.03,NA,7306
"115","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1990,5,312459,228500,531932,0.05,NA,13058
"116","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1991,5,343049,274080,573663,0.079,NA,22052
"117","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1992,5,383001,354390,600869,0.034,NA,10382
"118","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1993,5,426976,464830,632893,0.027,NA,9338
"119","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1994,5,461060,372550,659131,0.037,NA,14366
"120","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1995,5,478406,471690,673945,0.022,NA,9280
"121","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1996,5,494967,661180,692466,0.033,NA,14652
"122","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1997,5,501634,425330,704798,0.022,NA,10054
"123","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1998,5,507398,500640,726368,0.034,NA,15241
"124","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1999,5,509864,567630,748908,0.023,NA,10573
"125","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2000,5,524969,734160,780786,0.028,NA,12929
"126","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2001,5,543316,436110,817676,0.03,NA,13908
"127","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2002,5,562611,296810,856909,0.024,NA,11540
"128","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2003,5,596293,NA,904521,0.025,NA,12834
"129","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2004,5,635103,NA,951786,0.033,NA,17809
"130","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2005,5,663351,NA,993348,0.024,NA,13685
"131","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2006,5,697773,NA,1035350,0.022,NA,13309
"132","AFSC-BKINGCRABSMI-1960-2008-JENSEN",1973,2,NA,NA,NA,NA,NA,NA
"133","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2007,5,742608,NA,1067480,0.018,NA,11670
"134","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2008,5,788485,NA,1090100,0.029,NA,19403
"135","AFSC-ARFLOUNDGA-1958-2010-STANTON",1958,4,NA,122530,NA,NA,NA,NA
"136","AFSC-ARFLOUNDGA-1958-2010-STANTON",1959,4,NA,122880,NA,NA,NA,NA
"137","AFSC-ARFLOUNDGA-1958-2010-STANTON",1960,4,NA,118480,NA,NA,NA,NA
"138","AFSC-ARFLOUNDGA-1958-2010-STANTON",1961,4,197773,123350,362688,NA,NA,NA
"139","AFSC-ARFLOUNDGA-1958-2010-STANTON",1962,4,203554,121380,372234,NA,NA,NA
"140","AFSC-ARFLOUNDGA-1958-2010-STANTON",1963,4,207858,116960,379575,NA,NA,NA
"141","AFSC-ARFLOUNDGA-1958-2010-STANTON",1964,4,211591,114710,386327,NA,NA,514
"142","AFSC-ARFLOUNDGA-1958-2010-STANTON",1965,4,215285,117550,391923,NA,NA,514
"143","AFSC-ARFLOUNDGA-1958-2010-STANTON",1966,4,219009,123440,396013,NA,NA,2469
"144","AFSC-ARFLOUNDGA-1958-2010-STANTON",1967,4,220958,134920,396891,NA,NA,2276
"145","AFSC-ARFLOUNDGA-1958-2010-STANTON",1968,4,222825,144530,397871,NA,NA,1697
"146","AFSC-ARFLOUNDGA-1958-2010-STANTON",1969,4,224985,247400,400189,NA,NA,1315
"147","AFSC-ARFLOUNDGA-1958-2010-STANTON",1970,4,227123,312700,404932,NA,NA,1886
"148","AFSC-ARFLOUNDGA-1958-2010-STANTON",1971,4,228318,415850,411347,NA,NA,1185
"149","AFSC-ARFLOUNDGA-1958-2010-STANTON",1972,4,229843,524250,436435,NA,NA,4477
"150","AFSC-ARFLOUNDGA-1958-2010-STANTON",1973,4,229018,323350,474812,NA,NA,10007
"151","AFSC-ARFLOUNDGA-1958-2010-STANTON",1974,4,225229,405260,531954,NA,NA,4883
"152","AFSC-ARFLOUNDGA-1958-2010-STANTON",1975,4,228639,332050,621850,NA,NA,2776
"153","AFSC-ARFLOUNDGA-1958-2010-STANTON",1976,4,240734,320770,691205,NA,NA,3045
"154","AFSC-ARFLOUNDGA-1958-2010-STANTON",1977,4,264331,362440,767684,NA,NA,9449
"155","AFSC-ARFLOUNDGA-1958-2010-STANTON",1978,4,297844,509680,822858,NA,NA,8409
"156","AFSC-ARFLOUNDGA-1958-2010-STANTON",1979,4,344913,513550,869805,NA,NA,7579
"157","AFSC-ARFLOUNDGA-1958-2010-STANTON",1980,4,397150,319810,917026,NA,NA,7848
"158","AFSC-ARFLOUNDGA-1958-2010-STANTON",1981,4,443824,347410,983995,NA,NA,7433
"159","AFSC-ARFLOUNDGA-1958-2010-STANTON",1982,4,483368,504000,1055650,NA,NA,4639
"160","AFSC-ARFLOUNDGA-1958-2010-STANTON",1983,4,517769,555310,1099110,NA,NA,6331
"161","AFSC-ARFLOUNDGA-1958-2010-STANTON",1984,4,549071,658150,1135480,NA,NA,3457
"162","AFSC-ARFLOUNDGA-1958-2010-STANTON",1985,4,585680,586920,1192450,NA,NA,1539
"163","AFSC-ARFLOUNDGA-1958-2010-STANTON",1986,4,629556,533850,1261770,NA,NA,1221
"164","AFSC-ARFLOUNDGA-1958-2010-STANTON",1987,4,671017,582950,1350870,NA,NA,4963
"165","AFSC-ARFLOUNDGA-1958-2010-STANTON",1988,4,693255,477820,1422570,NA,NA,5138
"166","AFSC-ARFLOUNDGA-1958-2010-STANTON",1989,4,715626,450170,1485560,NA,NA,2584
"167","AFSC-ARFLOUNDGA-1958-2010-STANTON",1990,4,746026,518320,1550490,NA,NA,7706
"168","AFSC-ARFLOUNDGA-1958-2010-STANTON",1991,4,783277,432800,1588780,NA,NA,10034
"169","AFSC-ARFLOUNDGA-1958-2010-STANTON",1992,4,825959,398770,1611650,NA,NA,15970
"170","AFSC-ARFLOUNDGA-1958-2010-STANTON",1993,4,864642,396720,1633480,NA,NA,15559
"171","AFSC-ARFLOUNDGA-1958-2010-STANTON",1994,4,895095,450980,1636730,NA,NA,23560
"172","AFSC-ARFLOUNDGA-1958-2010-STANTON",1995,4,906040,575290,1614180,NA,NA,18428
"173","AFSC-ARFLOUNDGA-1958-2010-STANTON",1996,4,913895,693750,1592570,NA,NA,22583
"174","AFSC-ARFLOUNDGA-1958-2010-STANTON",1997,4,915292,917320,1575660,NA,NA,16319
"175","AFSC-ARFLOUNDGA-1958-2010-STANTON",1998,4,916789,1098970,1586500,NA,NA,12975
"176","AFSC-ARFLOUNDGA-1958-2010-STANTON",1999,4,915555,1320190,1628570,NA,NA,16207
"177","AFSC-ARFLOUNDGA-1958-2010-STANTON",2000,4,903265,866590,1712390,NA,NA,24252
"178","AFSC-ARFLOUNDGA-1958-2010-STANTON",2001,4,884328,508790,1835900,NA,NA,19964
"179","AFSC-ARFLOUNDGA-1958-2010-STANTON",2002,4,880814,566700,2022940,NA,NA,21231
"180","AFSC-ARFLOUNDGA-1958-2010-STANTON",2003,4,893944,564940,2153650,NA,NA,29994
"181","AFSC-ARFLOUNDGA-1958-2010-STANTON",2004,4,928970,626360,2202930,NA,NA,15304
"182","AFSC-ARFLOUNDGA-1958-2010-STANTON",2005,4,1009480,NA,2245770,NA,NA,19770
"183","AFSC-ARFLOUNDGA-1958-2010-STANTON",2006,4,1111220,NA,2258230,NA,NA,27653
"184","AFSC-ARFLOUNDGA-1958-2010-STANTON",2007,4,1208120,NA,2256030,NA,NA,25364
"185","AFSC-ARFLOUNDGA-1958-2010-STANTON",2008,4,1275310,NA,NA,NA,NA,27938
"186","AFSC-ARFLOUNDGA-1958-2010-STANTON",2009,4,1295050,NA,NA,NA,NA,NA
"187","AFSC-ARFLOUNDGA-1958-2010-STANTON",2010,4,1293640,NA,NA,NA,NA,NA
"188","AFSC-ATKABSAI-1976-2009-STANTON",1976,5,NA,207000,NA,NA,NA,NA
"189","AFSC-ATKABSAI-1976-2009-STANTON",1977,5,75681,1256000,194180,0.228,NA,21763
"190","AFSC-ATKABSAI-1976-2009-STANTON",1978,5,77012,311000,194628,0.263,NA,24249
"191","AFSC-ATKABSAI-1976-2009-STANTON",1979,5,84920,198000,225771,0.161,NA,23264
"192","AFSC-ATKABSAI-1976-2009-STANTON",1980,5,101260,221000,395114,0.11,NA,20488
"193","AFSC-ATKABSAI-1976-2009-STANTON",1981,5,147910,154000,405797,0.08,NA,19688
"194","AFSC-ATKABSAI-1976-2009-STANTON",1982,5,155720,216000,385512,0.072,NA,19874
"195","AFSC-ATKABSAI-1976-2009-STANTON",1983,5,144940,290000,371230,0.046,NA,11726
"196","AFSC-ATKABSAI-1976-2009-STANTON",1984,5,125550,432000,377658,0.132,NA,36055
"197","AFSC-ATKABSAI-1976-2009-STANTON",1985,5,100750,380000,319991,0.179,NA,37860
"198","AFSC-ATKABSAI-1976-2009-STANTON",1986,5,85800,565000,272392,0.185,NA,31990
"199","AFSC-ATKABSAI-1976-2009-STANTON",1987,5,86182,336000,369594,0.132,NA,30061
"200","AFSC-ATKABSAI-1976-2009-STANTON",1988,5,94556,1332000,295189,0.117,NA,22084
"201","AFSC-ATKABSAI-1976-2009-STANTON",1989,5,107160,577000,418278,0.069,NA,17994
"202","AFSC-ATKABSAI-1976-2009-STANTON",1990,5,126010,274000,527198,0.059,NA,22206
"203","AFSC-ATKABSAI-1976-2009-STANTON",1991,5,146580,473000,479865,0.087,NA,26626
"204","AFSC-ATKABSAI-1976-2009-STANTON",1992,5,190790,891000,721683,0.142,NA,48532
"205","AFSC-ATKABSAI-1976-2009-STANTON",1993,5,194700,289000,657479,0.187,NA,66006
"206","AFSC-ATKABSAI-1976-2009-STANTON",1994,5,170050,301000,522903,0.232,NA,65360
"207","AFSC-ATKABSAI-1976-2009-STANTON",1995,5,149680,798000,480063,0.357,NA,81554
"208","AFSC-ATKABSAI-1976-2009-STANTON",1996,5,136370,139000,447624,0.478,NA,103942
"209","AFSC-ATKABSAI-1976-2009-STANTON",1997,5,115890,272000,422929,0.296,NA,65842
"210","AFSC-ATKABSAI-1976-2009-STANTON",1998,5,105730,642000,371894,0.367,NA,57097
"211","AFSC-ATKABSAI-1976-2009-STANTON",1999,5,112060,1273000,389934,0.268,NA,56237
"212","AFSC-ATKABSAI-1976-2009-STANTON",2000,5,98804,855000,347964,0.257,NA,47230
"213","AFSC-ATKABSAI-1976-2009-STANTON",2001,5,90924,9e+05,392400,0.352,NA,61563
"214","AFSC-ATKABSAI-1976-2009-STANTON",2002,5,114300,182000,445874,0.257,NA,45288
"215","AFSC-ATKABSAI-1976-2009-STANTON",2003,5,162120,401000,514019,0.238,NA,54045
"216","AFSC-ATKABSAI-1976-2009-STANTON",2004,5,190180,758000,593355,0.218,NA,60562
"217","AFSC-ATKABSAI-1976-2009-STANTON",2005,5,196040,378000,514571,0.216,NA,62012
"218","AFSC-ATKABSAI-1976-2009-STANTON",2006,5,165530,315000,459303,0.238,NA,61894
"219","AFSC-ATKABSAI-1976-2009-STANTON",2007,5,146610,NA,528053,0.223,NA,58763
"220","AFSC-ATKABSAI-1976-2009-STANTON",2008,5,146550,NA,469013,0.229,NA,58471
"221","AFSC-ATKABSAI-1976-2009-STANTON",2009,5,132330,NA,410589,NA,NA,NA
"222","AFSC-BKINGCRABPI-1960-2008-JENSEN",1960,3,NA,NA,NA,NA,NA,NA
"223","AFSC-BKINGCRABPI-1960-2008-JENSEN",1961,3,NA,NA,NA,NA,NA,NA
"224","AFSC-BKINGCRABPI-1960-2008-JENSEN",1962,3,NA,NA,NA,NA,NA,NA
"225","AFSC-BKINGCRABPI-1960-2008-JENSEN",1963,3,NA,NA,NA,NA,NA,NA
"226","AFSC-BKINGCRABPI-1960-2008-JENSEN",1964,3,NA,NA,NA,NA,NA,NA
"227","AFSC-BKINGCRABPI-1960-2008-JENSEN",1965,3,NA,NA,NA,NA,NA,NA
"228","AFSC-BKINGCRABPI-1960-2008-JENSEN",1966,3,NA,NA,NA,NA,NA,NA
"229","AFSC-BKINGCRABPI-1960-2008-JENSEN",1967,3,NA,NA,NA,NA,NA,NA
"230","AFSC-BKINGCRABPI-1960-2008-JENSEN",1968,3,NA,NA,NA,NA,NA,NA
"231","AFSC-BKINGCRABPI-1960-2008-JENSEN",1969,3,NA,NA,NA,NA,NA,NA
"232","AFSC-BKINGCRABPI-1960-2008-JENSEN",1970,3,NA,NA,NA,NA,NA,NA
"233","AFSC-BKINGCRABPI-1960-2008-JENSEN",1971,3,NA,NA,NA,NA,NA,NA
"234","AFSC-BKINGCRABPI-1960-2008-JENSEN",1972,3,NA,NA,NA,NA,NA,NA
"235","AFSC-BKINGCRABPI-1960-2008-JENSEN",1973,3,NA,NA,NA,NA,NA,NA
"236","AFSC-BKINGCRABPI-1960-2008-JENSEN",1974,3,NA,NA,NA,NA,NA,579.24
"237","AFSC-BKINGCRABPI-1960-2008-JENSEN",1975,3,NA,NA,NA,NA,NA,3223.68
"238","AFSC-BKINGCRABPI-1960-2008-JENSEN",1976,3,NA,NA,NA,NA,NA,1104.04
"239","AFSC-BKINGCRABPI-1960-2008-JENSEN",1977,3,NA,NA,NA,NA,NA,2998.7
"240","AFSC-BKINGCRABPI-1960-2008-JENSEN",1978,3,NA,NA,NA,NA,NA,2928.84
"241","AFSC-BKINGCRABPI-1960-2008-JENSEN",1979,3,NA,NA,NA,NA,NA,2901.17
"242","AFSC-BKINGCRABPI-1960-2008-JENSEN",1980,3,NA,NA,NA,NA,NA,2719.28
"243","AFSC-BKINGCRABPI-1960-2008-JENSEN",1981,3,14800.71,NA,132798.13,NA,NA,4975.9
"244","AFSC-BKINGCRABPI-1960-2008-JENSEN",1982,3,14601.13,NA,27102.12,NA,NA,4119.07
"245","AFSC-BKINGCRABPI-1960-2008-JENSEN",1983,3,7688.38,NA,17150.31,NA,NA,1998.07
"246","AFSC-BKINGCRABPI-1960-2008-JENSEN",1984,3,5220.84,NA,14891.43,NA,NA,994.73
"247","AFSC-BKINGCRABPI-1960-2008-JENSEN",1985,3,2231.67,NA,5660.83,NA,NA,139.25
"248","AFSC-BKINGCRABPI-1960-2008-JENSEN",1986,3,1138.52,NA,1696.43,NA,NA,239.5
"249","AFSC-BKINGCRABPI-1960-2008-JENSEN",1987,3,1288.2,NA,3429.16,NA,NA,117.48
"250","AFSC-BKINGCRABPI-1960-2008-JENSEN",1988,3,2390.43,NA,3084.43,NA,NA,317.97
"251","AFSC-BKINGCRABPI-1960-2008-JENSEN",1989,3,635.03,NA,1084.08,NA,NA,0
"252","AFSC-BKINGCRABPI-1960-2008-JENSEN",1990,3,916.26,NA,1737.26,NA,NA,0
"253","AFSC-BKINGCRABPI-1960-2008-JENSEN",1991,3,2798.66,NA,4699.21,NA,NA,0
